serial_no,candidate_or_party,election_name,declaration_id,transaction_date,category,donor_or_recipient,id_number,income_amount,expenditure_amount,donation_method,deposit_date,returned_or_paid_to_treasury,purpose,money_type,address,phone_number,disclosed_recipient,recipient_staff_name,recipient_staff_title,party_staff_name,party_staff_title,relationship,correction_note,correction_date
1,賴清德,113年總統、副總統選舉,首次申報,1120520,雜支支出,三普花屋,56977924,0.00,2000.00,,,,其他費用,金錢,臺南市東區中****,,否,,,,,,,
2,賴清德,113年總統、副總統選舉,首次申報,1120522,宣傳支出,晶典廣告社,10880948,0.00,5900.00,,,,製作宣傳廣告費用,金錢,臺南市北區大****,,否,,,,,,,
3,賴清德,113年總統、副總統選舉,首次申報,1120522,租用競選辦事處支出,僑巨資訊企業股份有限公司,12217932,0.00,129700.00,,,,租買辦公設備費用,金錢,臺北市新生北****,02-2*****,否,,,,,,,
4,賴清德,113年總統、副總統選舉,首次申報,1120522,雜支支出,泉蘆綠茶店,48788273,0.00,896.00,,,,餐飲費用,金錢,,,否,,,,,,,
5,賴清德,113年總統、副總統選舉,首次申報,1120522,雜支支出,亞杜廚房簡餐店,48879506,0.00,1620.00,,,,餐飲費用,金錢,,,否,,,,,,,
6,賴清德,113年總統、副總統選舉,首次申報,1120522,雜支支出,橙澄有限公司,83177165,0.00,54180.00,,,,其他費用,金錢,台北市內湖區****,02-2*****,否,,,,,,,
7,賴清德,113年總統、副總統選舉,首次申報,1120522,雜支支出,橙澄有限公司,83177165,0.00,13400.00,,,,其他費用,金錢,台北市內湖區****,,否,,,,,,,
8,賴清德,113年總統、副總統選舉,首次申報,1120523,雜支支出,台灣英文雜誌社股份有限公司,03563708,0.00,3988.00,,,,書報雜誌費用,金錢,,,否,,,,,,,
9,賴清德,113年總統、副總統選舉,首次申報,1120523,宣傳支出,晶典廣告社,10880948,0.00,8100.00,,,,製作宣傳廣告費用,金錢,臺南市北區大****,,否,,,,,,,
10,賴清德,113年總統、副總統選舉,首次申報,1120523,雜支支出,北金文具印刷有限公司,12221470,0.00,7268.00,,,,文具用品,金錢,臺北市中山區****,,否,,,,,,,
11,賴清德,113年總統、副總統選舉,首次申報,1120523,雜支支出,北金文具印刷有限公司,12221470,0.00,16880.00,,,,文具用品,金錢,臺北市中山區****,,否,,,,,,,
12,賴清德,113年總統、副總統選舉,首次申報,1120523,雜支支出,北金文具印刷有限公司,12221470,0.00,2710.00,,,,文具用品,金錢,臺北市中山區****,,否,,,,,,,
13,賴清德,113年總統、副總統選舉,首次申報,1120523,租用競選辦事處支出,金儀股份有限公司板橋分公司,34586902,0.00,18900.00,,,,租買辦公設備費用,金錢,新北市中和區****,,否,,,,,,,
14,賴清德,113年總統、副總統選舉,首次申報,1120523,租用競選辦事處支出,金儀股份有限公司板橋分公司,34586902,0.00,45000.00,,,,租買辦公設備費用,金錢,新北市中和區****,02-2*****,否,,,,,,,
15,賴清德,113年總統、副總統選舉,首次申報,1120523,雜支支出,橙澄有限公司,83177165,0.00,3000.00,,,,其他費用,金錢,台北市內湖區****,,否,,,,,,,
16,賴清德,113年總統、副總統選舉,首次申報,1120524,宣傳支出,晶典廣告社,10880948,0.00,2079.00,,,,製作宣傳廣告費用,金錢,臺南市北區大****,,否,,,,,,,
